"","X","Area1","Area2","Area3","Area4","Area5","Area6","Area7","Area8","Peak9","FCS","sumCh"
"102193",258330,0.642563041481815,1.0096539723455,0.756463420945148,0.872496637870749,0.577975343792364,0.670192676584059,-0.164074275754455,-1.01771971925297,3.09227008801565,1236.716309,3.34755109801221
"86757",205357,-0.0905878680136049,0.0660440084483542,0.393431643024912,0.52337833077268,0.670932108339457,0.448846322532419,9.33632774165145e-05,-1.15135526688361,3.09445031485063,1242.94043,0.860782641498022
"9676",19060,1.35751053598944,0.0470644854757228,0.887415576587623,1.19759614105817,0.150928588920186,0.866086690050995,0.730414341850194,0.405415008458754,2.78139104334062,604.492676,5.64243136839108
"38764",71189,2.64915381658507,2.50513581330294,2.39244414843848,1.95885878799111,1.80135463128177,1.94175619840362,1.4475767374875,1.12215631848529,3.176940003555,1502.934326,15.8184364519758
"143580",430042,1.2908129042335,1.33433728027343,0.674295914804456,-0.470264309474776,-0.194026364904383,0.471258257357707,-0.658638688407321,0.504663567645433,2.60802223478843,405.529297,2.95243856152805
"128602",366457,0.954483524242913,1.16134895276268,0.405626691049636,0.826342621462486,0.320197193246013,-0.161719010555815,-1.81250748101957,0.432872805885047,2.57859332702525,378.959961,2.12664529707339
"119728",328484,2.68532485586039,2.5481107967449,2.48672753526723,2.0471273574878,1.6716756201513,1.73514814121428,1.24790176137277,0.904046010424604,3.07395933157314,1185.657715,15.3260620785233
"19448",47224,0.542933924805922,0.946259786677974,0.737469834549046,-0.279754673445354,0.251816767578414,0.738991948211869,0.209789712737672,0.0329703245296251,2.57095147248274,372.350098,3.18047762564517
"8805",16953,0.972981000277723,1.00195002755404,-0.347909413897802,0.395686961180356,0.535065517164627,0.61905062986339,0.580458628233498,-0.701664456917382,2.52804720937828,337.323975,3.05561889345845
"124568",348779,1.43881646108468,0.875924419461263,0.241589808274533,-0.346537597528367,1.15641741959071,0.376335655871668,0.624516922726161,0.477488078595601,2.66581107893062,463.245361,4.84455116807624
"9084",17658,1.15400387083647,0.439889970250079,0.220806060764562,-2.61101121487529,0.191284419123969,0.367743071988812,-1.37960365464872,0.293015643652889,2.93845216911832,867.86499,-1.32387183290722
