"","x","y"
"1",-1.275,0.0767290000451859
"2",-1.225,0.024993144140182
"3",-1.175,0.064348096499494
"4",-1.125,0.198141957610106
"5",-1.075,0.334819944992144
"6",-1.025,0.435809900014287
"7",-0.975,0.427363284052031
"8",-0.925,0.308564877980855
"9",-0.875,0.378633214343622
"10",-0.825,0.845036497974494
"11",-0.775,1.48411258403682
"12",-0.725,1.95457679531637
"13",-0.675,2.0261307646529
"14",-0.625,1.9811624521097
"15",-0.575,2.17004805030475
"16",-0.525,2.20213777586658
"17",-0.475,1.75611178638891
"18",-0.425,1.43543190846269
"19",-0.375,2.06248458835382
"20",-0.325,3.72103402828887
"21",-0.275,5.62769644783985
"22",-0.225,6.78504618954007
"23",-0.175,7.18589053732428
"24",-0.125,7.90830000124469
"25",-0.075,9.58035985433895
"26",-0.025,11.2607351582083
"27",0.025,12.693508209678
"28",0.0750000000000001,15.0540390129044
"29",0.125,18.3073683473953
"30",0.175,21.658526922134
"31",0.225,25.0227748461267
"32",0.275,29.1036075871725
"33",0.325,33.8631689504579
"34",0.375,39.1701518117171
"35",0.425,46.7113941807913
"36",0.475,56.5129198618277
"37",0.525,67.0312255688185
"38",0.575,78.5824879628712
"39",0.625,92.5699830694553
"40",0.675,108.645817399373
"41",0.725,123.809422674955
"42",0.775,139.024501101604
"43",0.825,159.59921694169
"44",0.875,184.187532156436
"45",0.925,207.575716795821
"46",0.975,229.082095007205
"47",1.025,249.270297350705
"48",1.075,267.919199792415
"49",1.125,282.249914964754
"50",1.175,290.189338250732
"51",1.225,293.348202143013
"52",1.275,290.241096393312
"53",1.325,278.033126185263
"54",1.375,256.862907970782
"55",1.425,226.575110736812
"56",1.475,188.958631287786
"57",1.525,148.820475638216
"58",1.575,110.983953752469
"59",1.625,80.7315122337906
"60",1.675,60.2885220989913
"61",1.725,48.3990100581859
"62",1.775,43.8555260733434
"63",1.825,44.9195275138758
"64",1.875,48.4159495082806
"65",1.925,52.9174440159556
"66",1.975,59.4523573869506
"67",2.025,67.8290780586477
"68",2.075,78.2810132947743
"69",2.125,94.5268043006381
"70",2.175,123.081369164491
"71",2.225,171.205176682333
"72",2.275,243.697969242327
"73",2.325,345.814291918893
"74",2.375,491.764392310776
"75",2.425,691.573905322273
"76",2.475,933.837194236428
"77",2.525,1192.67751022459
"78",2.575,1420.49407166996
"79",2.625,1555.07933150322
"80",2.675,1559.07910727822
"81",2.725,1438.81719638014
"82",2.775,1237.38039011999
"83",2.825,1011.11913665666
"84",2.875,817.582357605148
"85",2.925,707.852613044076
"86",2.975,707.993166567843
"87",3.025,812.473795071505
"88",3.075,976.153210570198
"89",3.125,1113.63011444257
"90",3.175,1138.91153480866
"91",3.225,1016.34981520351
"92",3.275,779.282832208134
"93",3.325,505.826266016176
"94",3.375,267.927757785751
"95",3.425,100.330889045072
"96",3.475,4.74979613161499
"97",3.525,-35.3132742278509
"98",3.575,-41.5810993442603
